Species,Gene,AM,AF,LM,LF
Bmor,CSP3,813.647057,1005.594,199.30776,16.6935315
Bmor,CSP1,4409.769,5338.1497,239.80977,188.73617
Bmor,CSP2,6253.10171,7567.62334,140.6124347,71.78603079
Bmor,CSP5,72.82570193,78.48225843,16.49506383,11.3499129
Bmor,CSP4,71.63370685,79.47694579,64.75705246,67.10626644
Bmor,GR3,1914.281826,2057.610319,,
Bmor,GR10,348.2964907,398.6410878,3.337080858,4.074575804
Bmor,GR1,243.5911204,200.59824,,
Bmor,GR12,154.1225858,145.1744714,,
Bmor,GR15,125.9100271,124.8604174,24.48394981,18.82201724
Bmor,GR7,68.59586018,85.65747417,1.432741951,1.625168483
Bmor,GR4,43.11237606,51.66559158,,
Bmor,GR18,7.788150119,11.1982817,0.143633526,0.14949516
Bmor,GR9,14.36247541,15.48701848,5.479377207,4.879811908
Bmor,GR2,10.36357762,14.87250147,4.915366998,6.419464006
Bmor,GR19,1.799611767,1.713185137,0.93702405,1.474946873
Bmor,GR21,1.702479482,1.534176292,3.467066697,4.706137939
Bmor,GR11,6.973868828,6.753546802,0.269815224,0.313713558
Bmor,GR5,24.8575537,24.26331082,0.293279947,0.317711003
Bmor,GR24,0.876661002,0.731172295,,
Bmor,GR6,17.95406457,8.632306005,0.143633526,0.14949516
Bmor,GR14,2.517689966,3.467490182,,
Bmor,GR16,1.426274905,1.474678079,4.803052909,6.846391131
Bmor,GR8,9.803579327,10.92912149,15.78177291,10.14796475
Bmor,GR22,12.5532036,7.457193937,,
Bmor,GR17,1.629221489,1.776387516,5.33681081,8.379992601
Bmor,GR20,2.660577569,2.476659993,,
Bmor,GR25,,,0.578628856,0.651470765
Bmor,GR23,0.83067754,1.028498179,,
Bmor,GR13,5.12590563,5.357681417,,
Bmor,IR93a,6981.346335,8276.114131,4117.85782,3835.286949
Bmor,IR25a,3041.257449,2939.969163,83.18510568,75.24796126
Bmor,IR76a,1210.949652,1451.24607,2.438241058,1.74510068
Bmor,IR84a,967.7054039,1167.344687,4.83082757,3.896155074
Bmor,IR76b,1415.788162,1341.608008,27.19477558,28.64795552
Bmor,IR75d,1011.132786,1118.796431,84.23191018,67.54117183
Bmor,IR8a,443.3601593,523.974317,0.635119067,0.680843183
Bmor,IR41a,229.0977209,218.7427274,1.473052437,1.278162777
Bmor,IR92a.1,21.45694845,34.8002337,,
Bmor,IR64a,26.16591772,36.4042696,0.143633526,0.14949516
Bmor,40a2,12.42223175,11.47308511,,
Bmor,40a1,13.28680395,6.415449167,,
Bmor,IR68a1,3.315140808,4.125623841,,
Bmor,IR100a,26.44169304,26.47670872,,
Bmor,IR92a.2,1.428815133,1.114607393,,
Bmor,IR68a2,1.64589674,0.892415203,0.181087037,0.172355116
Bmor,OBP17,237624.7484,279357.8935,120852.7772,91312.67478
Bmor,OBP19,144133.6656,157549.734,756.9491698,515.0887552
Bmor,OBP18,81361.47057,100905.594,199.3020776,106.6935315
Bmor,OBP32,42469.90418,50627.90657,8004.179801,7513.335457
Bmor,OBP25,104198.5474,116736.2514,301.05281,223.1686628
Bmor,OBP22,17423.89138,22891.70397,33701.86007,29457.46544
Bmor,OBP10,37114.76776,43113.01742,87.91817399,38.59747501
Bmor,OBP34,15082.7183,14119.80703,28.72357294,20.76104541
Bmor,OBP9,6898.002276,8802.937048,14.72778576,9.906821138
Bmor,OBP26,30443.1707,32829.36014,0.655371554,0.634759894
Bmor,OBP14,27475.82987,32760.56045,59.97671316,37.2063051
Bmor,OBP1,5676.201941,5854.323182,7.711377978,5.445239321
Bmor,OBP27,3439.581613,4572.8026,8508.727182,8299.613077
Bmor,OBP30,1189.692608,1436.327617,719.9015027,688.7887774
Bmor,OBP29,4158.991684,4514.530461,44.15280573,37.43937741
Bmor,OBP38,233.2839107,252.9941904,0.323725036,0.320117213
Bmor,OBP33,383.9668931,252.1231438,3079.571394,1181.136991
Bmor,OBP7,356.5132499,355.2038924,1257.707322,1066.015894
Bmor,OBP20,342.8494309,390.2147315,1013.762303,900.5574742
Bmor,OBP5,180.8070233,206.7099678,1616.271474,1523.791569
Bmor,OBP31,277.3864604,323.3907109,82.16383421,69.97831105
Bmor,OBP24,129.7868789,128.1300433,389.8009731,702.6898696
Bmor,OBP36,106.8498185,162.8060841,10.8365135,6.639678752
Bmor,OBP16,91.77200312,132.2885702,576.5699942,660.0220222
Bmor,OBP23,158.7089857,173.6493037,21.47911877,27.97834668
Bmor,OBP21,55.746395,52.69806726,569.3446519,424.0367897
Bmor,OBP11,23.91167219,30.16189474,6.813008816,7.964991761
Bmor,OBP13,48.20686569,73.77475446,5018.350281,3806.845526
Bmor,OBP3,50.88973984,60.02528177,1024.279161,1554.032277
Bmor,OBP8,16.06782899,16.52817509,,
Bmor,OBP28,6.53639803,8.525556095,2.111552524,1.877585086
Bmor,OBP39,15.89032859,13.12207523,6.402140268,9.265000575
Bmor,OBP15,5.956541922,8.111073004,1.046805482,1.414914237
Bmor,OBP35,2.844536087,4.346416031,1627.767692,1205.304181
Bmor,OBP2,6.263173162,6.737945311,71.477788,76.76387416
Bmor,OBP6,11.91596469,9.430036972,17.4748153,26.32548919
Bmor,OBP12,4.497383419,7.590121095,2114.905358,1845.397473
Bmor,OBP4,15.10440187,14.03889038,32.35084993,41.23896056
Bmor,OBP37,27.49250422,28.04548181,8.370389555,7.022059794
Bmor,Orco,12416.90748,11202.09947,25.12839469,15.30461416
Bmor,OR3,1914.281826,2057.610319,1.869699446,2.001792122
Bmor,OR7,1644.2445,1275.392619,2.546535707,2.4806122
Bmor,OR18,540.0262814,572.1727889,0.768190268,0.643665339
Bmor,OR16,425.3097568,496.9357749,0.593870613,0.694629469
Bmor,OR36,394.756675,347.3970302,0.356293651,0.325293797
Bmor,OR32,344.2025761,345.5381949,,
Bmor,OR33,333.0914742,322.6207416,1.25733344,1.849970584
Bmor,OR35,262.8978378,290.6390792,2.727947734,2.293209049
Bmor,OR11,281.8912046,287.2245386,0.142323193,0.148076903
Bmor,OR15,404.5217527,436.9470886,0.701693971,0.683515051
Bmor,OR45,219.4765709,228.9550672,0.564917884,0.524433863
Bmor,OR5,365.460736,379.8614139,3.356246287,3.081236568
Bmor,OR26,516.6735154,328.2873849,0.995236168,1.189376716
Bmor,OR44,217.83499,210.2974761,0.568692771,0.673773639
Bmor,OR1,243.5911204,200.59824,0.543862915,0.486806731
Bmor,OR47,110.9288849,125.252756,1.026621372,0.802999925
Bmor,OR25,316.4888028,214.2797678,0.420222666,0.378728985
Bmor,OR60,92.60287681,74.12551086,0.667478903,0.784521578
Bmor,OR34,239.0049215,255.7718767,0.293279947,0.317711003
Bmor,OR30,133.3853995,131.9056993,,
Bmor,OR17,178.6415838,182.54084,,
Bmor,OR21,151.2866436,168.3513766,,
Bmor,OR12,154.8755754,121.8238631,,
Bmor,OR37,0.585804005,0.758850409,,
Bmor,OR6,101.5072696,88.84958646,,
Bmor,OR27,266.7766827,229.5760347,35.32581577,24.54763787
Bmor,OR22,277.3329396,234.9520337,,
Bmor,OR9,123.119377,109.2000184,,
Bmor,OR23,74.11455945,84.04161366,,
Bmor,OR39,76.21590815,90.47457345,,
Bmor,OR24,83.93107161,74.16285049,,
Bmor,OR19,69.47006409,52.17392948,,
Bmor,OR10,64.93345748,56.80729695,,
Bmor,OR14,81.40376082,82.74630781,,
Bmor,OR13,46.58449323,31.02461322,,
Bmor,OR56,10.01367421,9.715186826,,
Bmor,OR4,81.59507033,98.29185457,75.31621284,60.01810081
Bmor,OR2,127.2308698,161.6431012,1.872059707,1.640361959
Bmor,OR38,112.478907,105.9954384,,
Bmor,OR8,41.47762954,28.41148733,,
Bmor,OR53,4.29381567,3.38389499,,
Bmor,OR31,23.65865048,30.33395047,,
Bmor,OR46,6.094784951,6.485451907,,
Bmor,OR59,0.739548839,1.020188586,,
Bmor,OR29,29.94371099,40.74841756,,
Bmor,OR43,43.30953047,44.57380632,,
Bmor,OR41,18.40473103,21.7355586,,
Bmor,OR42,29.24683578,18.84956622,,
Bmor,OR55,20.82282872,18.72717443,0.149566687,0.155928788
Bmor,OR48,6.437276641,12.5644262,0.174460172,0.166333552
Bmor,OR28,11.46653771,10.85353689,0.275196367,0.320699204
Bmor,OR54,0.773278104,0.95920469,0.931973474,0.771995147
Bmor,OR49,3.769243397,3.426339467,0.205285041,0.194190785
Bmor,OR40,1.5603844,3.505310831,,
Bmor,OR51,,,0.9072075,0.984558338
Bmor,OR20,8.728274774,7.616591354,,
Bmor,OR52,0.547628924,0.410104353,,
Bmor,OR57,0.293099605,0.272105401,0.645091456,0.632391564
Bmor,OR58,2.597928271,1.711356021,,
Bmor,OR50,0.148137016,0.154366975,,
Bmor,SNMP1,9661.127763,10538.64971,118.7031192,85.13381489
Bmor,SNMP3,2428.295672,2411.683925,6.255368135,4.617295771
Bmor,SNMP2,84.85904754,101.5516007,47.09071658,43.38915083
Bmer,CSP3,40.941171,46.782,57.92328,50.0805945
Bmer,CSP1,1349.307,1614.4491,89.42931,56.20851
Bmer,CSP2,1869.30513,2272.87002,43.8373041,23.35809237
Bmer,CSP5,218.4771058,235.4467753,49.48519149,34.0497387
Bmer,CSP4,214.9011206,238.4308374,194.2711574,201.3187993
Bmer,GR3,5742.845478,6172.830957,10,2
Bmer,GR10,1044.889472,1195.923263,10.01124257,12.22372741
Bmer,GR1,730.7733612,601.79472,2,1
Bmer,GR12,462.3677574,435.5234142,1,2
Bmer,GR15,377.7300813,374.5812522,73.45184943,56.46605172
Bmer,GR7,205.7875805,256.9724225,4.298225853,4.875505449
Bmer,GR4,129.3371282,154.9967747,3,5
Bmer,GR18,23.36445036,33.5948451,0.430900578,0.44848548
Bmer,GR9,43.08742623,46.46105544,16.43813162,14.63943572
Bmer,GR2,31.09073286,44.61750441,14.74610099,19.25839202
Bmer,GR19,5.398835301,5.139555411,2.81107215,4.424840619
Bmer,GR21,5.107438446,4.602528876,10.40120009,14.11841382
Bmer,GR11,20.92160648,20.26064041,0.809445672,0.941140674
Bmer,GR5,74.5726611,72.78993246,0.879839841,0.953133009
Bmer,GR24,2.629983006,2.193516885,1,3
Bmer,GR6,53.86219371,25.89691802,0.430900578,0.44848548
Bmer,GR14,7.553069898,10.40247055,4,6
Bmer,GR16,4.278824715,4.424034237,14.40915873,20.53917339
Bmer,GR8,29.41073798,32.78736447,47.34531873,30.44389425
Bmer,GR22,37.6596108,22.37158181,3,1
Bmer,GR17,4.887664467,5.329162548,16.01043243,25.1399778
Bmer,GR20,7.981732707,7.429979979,0,0
Bmer,GR25,1,1,1.735886568,1.954412295
Bmer,GR23,2.49203262,3.085494537,2,2
Bmer,GR13,15.37771689,16.07304425,9,8
Bmer,IR93a,20944.03901,24828.34239,12353.57346,11505.86085
Bmer,IR25a,9123.772347,8819.907489,249.555317,225.7438838
Bmer,IR76a,3632.848956,4353.73821,7.314723174,5.23530204
Bmer,IR84a,2903.116212,3502.034061,14.49248271,11.68846522
Bmer,IR76b,4247.364486,4024.824024,81.58432674,85.94386656
Bmer,IR75d,3033.398358,3356.389293,252.6957305,202.6235155
Bmer,IR8a,1330.080478,1571.922951,1.905357201,2.042529549
Bmer,IR41a,687.2931627,656.2281822,4.419157311,3.834488331
Bmer,IR92a.1,64.37084535,104.4007011,4.419157311,3.834488331
Bmer,IR64a,78.49775316,109.2128088,0.430900578,0.44848548
